iter	Passed	Remaining
0	152	152305
1	157	78670
2	162	54124
3	167	41759
4	173	34547
5	179	29756
6	185	26317
7	190	23660
8	196	21645
9	201	19981
10	206	18537
11	211	17391
12	216	16412
13	220	15564
14	225	14838
15	230	14184
16	235	13617
17	240	13130
18	245	12670
19	250	12260
20	254	11850
21	258	11495
22	262	11168
23	267	10866
24	271	10596
25	275	10334
26	280	10108
27	285	9898
28	290	9716
29	294	9525
30	299	9346
31	303	9180
32	307	9016
33	312	8865
34	316	8724
35	320	8594
36	325	8459
37	329	8349
38	334	8233
39	338	8116
40	342	8014
41	346	7908
42	351	7812
43	355	7716
44	359	7627
45	363	7533
46	367	7455
47	371	7375
48	376	7301
49	380	7223
50	385	7171
51	390	7116
52	394	7052
53	399	6994
54	403	6938
55	409	6895
56	413	6838
57	418	6791
58	423	6753
59	428	6705
60	433	6673
61	438	6632
62	443	6602
63	449	6571
64	453	6526
65	459	6503
66	465	6477
67	469	6437
68	475	6412
69	480	6382
70	485	6350
71	491	6334
72	497	6315
73	501	6281
74	507	6258
75	511	6224
76	517	6200
77	522	6180
78	528	6158
79	533	6129
80	537	6101
81	542	6071
82	547	6045
83	552	6019
84	556	5990
85	561	5963
86	565	5932
87	570	5907
88	574	5882
89	579	5860
90	584	5837
91	588	5808
92	592	5781
93	597	5756
94	602	5739
95	607	5718
96	612	5698
97	617	5679
98	621	5656
99	625	5632
100	630	5608
101	634	5584
102	638	5559
103	642	5535
104	646	5514
105	651	5490
106	654	5466
107	659	5448
108	663	5426
109	668	5407
110	672	5387
111	677	5370
112	681	5352
113	686	5332
114	690	5312
115	695	5298
116	699	5282
117	704	5266
118	710	5257
119	714	5238
120	719	5228
121	724	5211
122	729	5200
123	734	5189
124	739	5173
125	744	5164
126	749	5150
127	753	5136
128	759	5125
129	763	5110
130	768	5096
131	772	5081
132	777	5068
133	782	5056
134	786	5038
135	791	5028
136	796	5016
137	800	5003
138	806	4994
139	813	4994
140	818	4986
141	824	4979
142	829	4970
143	834	4959
144	839	4952
145	845	4943
146	850	4934
147	855	4924
148	860	4913
149	865	4903
150	870	4894
151	875	4882
152	880	4876
153	885	4865
154	891	4859
155	896	4851
156	901	4839
157	906	4828
158	911	4819
159	916	4809
160	921	4802
161	927	4796
162	931	4785
163	937	4780
164	943	4772
165	947	4761
166	953	4754
167	957	4744
168	963	4736
169	968	4728
170	972	4716
171	978	4710
172	983	4702
173	988	4691
174	994	4688
175	1000	4684
176	1004	4672
177	1011	4668
178	1017	4665
179	1021	4655
180	1027	4649
181	1032	4640
182	1036	4629
183	1042	4623
184	1047	4613
185	1052	4604
186	1057	4596
187	1061	4586
188	1067	4582
189	1072	4573
190	1077	4563
191	1082	4556
192	1087	4546
193	1092	4540
194	1097	4532
195	1102	4521
196	1107	4516
197	1112	4507
198	1117	4498
199	1122	4490
200	1126	4478
201	1131	4470
202	1135	4459
203	1140	4449
204	1144	4438
205	1148	4427
206	1153	4417
207	1157	4405
208	1162	4397
209	1166	4387
210	1170	4378
211	1175	4370
212	1180	4359
213	1183	4348
214	1188	4340
215	1193	4331
216	1197	4322
217	1203	4315
218	1207	4305
219	1211	4295
220	1215	4284
221	1219	4274
222	1223	4263
223	1228	4254
224	1232	4245
225	1237	4236
226	1241	4227
227	1245	4218
228	1250	4209
229	1254	4199
230	1258	4189
231	1263	4181
232	1267	4173
233	1271	4163
234	1276	4155
235	1280	4146
236	1285	4139
237	1290	4130
238	1294	4122
239	1299	4115
240	1303	4106
241	1307	4096
242	1312	4088
243	1316	4077
244	1320	4068
245	1324	4059
246	1328	4051
247	1333	4043
248	1337	4034
249	1341	4025
250	1345	4015
251	1349	4006
252	1354	3998
253	1358	3991
254	1363	3983
255	1367	3974
256	1371	3966
257	1377	3960
258	1381	3953
259	1386	3944
260	1390	3937
261	1394	3928
262	1399	3922
263	1404	3914
264	1408	3907
265	1413	3899
266	1417	3890
267	1421	3883
268	1426	3875
269	1431	3870
270	1436	3863
271	1440	3856
272	1445	3849
273	1449	3840
274	1453	3832
275	1458	3825
276	1463	3818
277	1467	3811
278	1473	3806
279	1477	3799
280	1482	3792
281	1487	3786
282	1491	3779
283	1497	3774
284	1501	3767
285	1506	3761
286	1511	3754
287	1516	3748
288	1520	3741
289	1525	3735
290	1531	3730
291	1536	3724
292	1540	3717
293	1545	3712
294	1550	3705
295	1555	3700
296	1560	3694
297	1565	3686
298	1570	3681
299	1575	3675
300	1580	3669
301	1585	3663
302	1589	3655
303	1594	3651
304	1599	3645
305	1604	3638
306	1609	3632
307	1613	3625
308	1618	3619
309	1623	3613
310	1628	3608
311	1633	3601
312	1637	3595
313	1643	3590
314	1648	3584
315	1652	3577
316	1657	3571
317	1661	3564
318	1666	3558
319	1671	3551
320	1676	3546
321	1680	3539
322	1685	3533
323	1691	3530
324	1696	3524
325	1701	3518
326	1707	3514
327	1712	3507
328	1716	3499
329	1720	3492
330	1724	3485
331	1728	3478
332	1732	3470
333	1737	3463
334	1741	3456
335	1746	3450
336	1750	3443
337	1754	3436
338	1758	3429
339	1763	3422
340	1767	3415
341	1772	3409
342	1775	3401
343	1780	3395
344	1784	3388
345	1789	3382
346	1794	3377
347	1798	3370
348	1803	3364
349	1808	3358
350	1813	3352
351	1818	3346
352	1823	3341
353	1827	3335
354	1832	3329
355	1837	3323
356	1841	3317
357	1846	3311
358	1851	3306
359	1856	3300
360	1861	3294
361	1865	3288
362	1870	3282
363	1888	3299
364	1893	3293
365	1897	3286
366	1901	3280
367	1906	3273
368	1910	3267
369	1915	3261
370	1920	3255
371	1924	3249
372	1928	3242
373	1933	3236
374	1937	3229
375	1942	3224
376	1946	3217
377	1951	3211
378	1956	3205
379	1960	3198
380	1965	3192
381	1969	3186
382	1974	3180
383	1978	3174
384	1983	3168
385	1987	3162
386	1992	3155
387	1996	3149
388	2000	3142
389	2005	3136
390	2009	3129
391	2013	3123
392	2017	3116
393	2022	3110
394	2026	3103
395	2030	3097
396	2034	3090
397	2039	3084
398	2043	3078
399	2048	3072
400	2052	3066
401	2057	3060
402	2061	3054
403	2066	3047
404	2070	3042
405	2075	3035
406	2079	3030
407	2084	3024
408	2089	3019
409	2093	3012
410	2097	3005
411	2102	3000
412	2107	2994
413	2111	2989
414	2116	2983
415	2121	2978
416	2126	2972
417	2131	2967
418	2136	2961
419	2140	2956
420	2145	2950
421	2149	2944
422	2155	2939
423	2160	2934
424	2165	2929
425	2169	2923
426	2174	2918
427	2180	2913
428	2185	2908
429	2190	2903
430	2195	2898
431	2200	2893
432	2205	2888
433	2210	2882
434	2214	2876
435	2219	2870
436	2223	2864
437	2228	2859
438	2233	2854
439	2238	2848
440	2243	2844
441	2248	2838
442	2253	2833
443	2258	2828
444	2263	2822
445	2268	2817
446	2275	2814
447	2279	2808
448	2285	2805
449	2291	2800
450	2295	2794
451	2302	2792
452	2308	2787
453	2313	2782
454	2318	2777
455	2324	2772
456	2328	2767
457	2345	2775
458	2358	2779
459	2364	2775
460	2372	2773
461	2377	2768
462	2383	2763
463	2388	2758
464	2393	2753
465	2399	2749
466	2406	2746
467	2411	2741
468	2418	2737
469	2424	2733
470	2430	2729
471	2434	2723
472	2441	2720
473	2447	2716
474	2453	2711
475	2458	2706
476	2466	2703
477	2472	2700
478	2478	2695
479	2483	2690
480	2489	2686
481	2495	2681
482	2499	2675
483	2505	2670
484	2509	2665
485	2514	2659
486	2519	2653
487	2523	2647
488	2527	2641
489	2532	2635
490	2536	2629
491	2540	2623
492	2546	2618
493	2551	2613
494	2556	2607
495	2560	2601
496	2565	2596
497	2571	2592
498	2577	2588
499	2582	2582
500	2588	2578
501	2594	2573
502	2599	2568
503	2604	2563
504	2609	2557
505	2613	2551
506	2617	2545
507	2622	2539
508	2627	2534
509	2631	2528
510	2636	2523
511	2642	2518
512	2646	2512
513	2651	2506
514	2655	2500
515	2661	2496
516	2666	2491
517	2670	2484
518	2675	2479
519	2680	2473
520	2684	2468
521	2689	2462
522	2693	2456
523	2698	2451
524	2702	2445
525	2707	2439
526	2711	2433
527	2716	2428
528	2721	2422
529	2726	2417
530	2731	2412
531	2735	2406
532	2740	2401
533	2744	2395
534	2749	2389
535	2753	2384
536	2758	2378
537	2763	2373
538	2768	2368
539	2774	2363
540	2779	2357
541	2783	2352
542	2788	2347
543	2793	2341
544	2799	2336
545	2805	2332
546	2810	2327
547	2816	2323
548	2822	2318
549	2827	2313
550	2832	2308
551	2837	2303
552	2842	2297
553	2848	2293
554	2853	2288
555	2859	2283
556	2865	2279
557	2870	2274
558	2875	2268
559	2881	2264
560	2887	2259
561	2892	2254
562	2897	2249
563	2903	2244
564	2908	2239
565	2914	2234
566	2919	2229
567	2924	2224
568	2930	2220
569	2936	2214
570	2941	2209
571	2947	2205
572	2954	2201
573	2960	2197
574	2965	2191
575	2972	2187
576	2979	2184
577	2986	2180
578	2991	2174
579	2996	2169
580	3002	2165
581	3008	2160
582	3012	2155
583	3019	2150
584	3023	2145
585	3028	2139
586	3034	2134
587	3038	2129
588	3044	2124
589	3050	2119
590	3055	2114
591	3061	2110
592	3068	2105
593	3073	2100
594	3078	2095
595	3085	2091
596	3090	2086
597	3094	2080
598	3099	2075
599	3104	2069
600	3108	2063
601	3114	2059
602	3119	2053
603	3124	2048
604	3128	2042
605	3133	2036
606	3137	2031
607	3141	2025
608	3146	2019
609	3150	2014
610	3154	2008
611	3159	2002
612	3164	1997
613	3168	1991
614	3173	1986
615	3179	1981
616	3183	1976
617	3187	1970
618	3192	1964
619	3196	1959
620	3201	1953
621	3205	1948
622	3209	1942
623	3214	1936
624	3218	1931
625	3223	1925
626	3227	1920
627	3232	1914
628	3237	1909
629	3241	1903
630	3245	1897
631	3250	1892
632	3255	1887
633	3259	1881
634	3263	1876
635	3268	1870
636	3272	1865
637	3277	1859
638	3282	1854
639	3287	1849
640	3292	1843
641	3297	1838
642	3302	1833
643	3306	1827
644	3311	1822
645	3315	1816
646	3319	1811
647	3323	1805
648	3329	1800
649	3333	1794
650	3338	1789
651	3343	1784
652	3347	1778
653	3352	1773
654	3356	1767
655	3361	1762
656	3365	1757
657	3370	1751
658	3375	1746
659	3379	1741
660	3384	1736
661	3390	1730
662	3394	1725
663	3398	1719
664	3405	1715
665	3410	1710
666	3414	1704
667	3418	1699
668	3424	1694
669	3428	1688
670	3434	1684
671	3438	1678
672	3444	1673
673	3449	1668
674	3453	1662
675	3458	1657
676	3462	1651
677	3466	1646
678	3470	1640
679	3475	1635
680	3479	1630
681	3485	1624
682	3489	1619
683	3494	1614
684	3498	1608
685	3502	1603
686	3507	1597
687	3511	1592
688	3516	1587
689	3522	1582
690	3526	1576
691	3530	1571
692	3535	1566
693	3539	1560
694	3543	1555
695	3548	1550
696	3552	1544
697	3558	1539
698	3563	1534
699	3568	1529
700	3572	1523
701	3576	1518
702	3581	1513
703	3586	1507
704	3591	1502
705	3597	1498
706	3603	1493
707	3608	1488
708	3613	1483
709	3618	1477
710	3623	1473
711	3629	1467
712	3634	1462
713	3640	1458
714	3645	1452
715	3650	1447
716	3655	1443
717	3660	1437
718	3666	1432
719	3671	1427
720	3675	1422
721	3681	1417
722	3687	1412
723	3691	1407
724	3697	1402
725	3703	1397
726	3708	1392
727	3713	1387
728	3718	1382
729	3723	1377
730	3729	1372
731	3735	1367
732	3739	1362
733	3745	1357
734	3750	1352
735	3755	1347
736	3761	1342
737	3765	1336
738	3770	1331
739	3776	1326
740	3780	1321
741	3786	1316
742	3791	1311
743	3796	1306
744	3803	1301
745	3808	1296
746	3813	1291
747	3820	1286
748	3824	1281
749	3829	1276
750	3835	1271
751	3840	1266
752	3845	1261
753	3851	1256
754	3856	1251
755	3861	1246
756	3866	1241
757	3871	1235
758	3876	1230
759	3881	1225
760	3886	1220
761	3892	1215
762	3896	1210
763	3902	1205
764	3908	1200
765	3912	1195
766	3918	1190
767	3923	1185
768	3928	1180
769	3934	1175
770	3941	1170
771	3946	1165
772	3951	1160
773	3956	1155
774	3960	1149
775	3966	1144
776	3971	1139
777	3976	1134
778	3981	1129
779	3986	1124
780	3991	1119
781	3997	1114
782	4001	1109
783	4007	1104
784	4011	1098
785	4016	1093
786	4020	1088
787	4025	1082
788	4029	1077
789	4033	1072
790	4039	1067
791	4043	1061
792	4048	1056
793	4054	1051
794	4058	1046
795	4063	1041
796	4067	1035
797	4072	1030
798	4076	1025
799	4080	1020
800	4085	1015
801	4090	1009
802	4094	1004
803	4098	999
804	4103	994
805	4107	988
806	4112	983
807	4116	978
808	4120	972
809	4124	967
810	4128	962
811	4133	956
812	4137	951
813	4141	946
814	4146	941
815	4150	935
816	4154	930
817	4159	925
818	4163	920
819	4167	914
820	4171	909
821	4176	904
822	4180	899
823	4185	894
824	4191	889
825	4195	883
826	4199	878
827	4204	873
828	4208	868
829	4212	862
830	4217	857
831	4221	852
832	4226	847
833	4230	842
834	4234	836
835	4239	831
836	4243	826
837	4247	821
838	4251	815
839	4256	810
840	4260	805
841	4265	800
842	4269	795
843	4274	790
844	4278	784
845	4282	779
846	4286	774
847	4291	769
848	4295	764
849	4299	758
850	4303	753
851	4308	748
852	4312	743
853	4317	738
854	4321	732
855	4325	727
856	4330	722
857	4334	717
858	4339	712
859	4343	707
860	4347	701
861	4351	696
862	4357	691
863	4361	686
864	4366	681
865	4372	676
866	4376	671
867	4382	666
868	4387	661
869	4392	656
870	4398	651
871	4404	646
872	4409	641
873	4415	636
874	4420	631
875	4424	626
876	4430	621
877	4435	616
878	4440	611
879	4444	606
880	4449	601
881	4454	596
882	4459	590
883	4464	585
884	4470	580
885	4474	575
886	4480	570
887	4485	565
888	4490	560
889	4496	555
890	4501	550
891	4505	545
892	4511	540
893	4515	535
894	4520	530
895	4526	525
896	4530	520
897	4536	515
898	4541	510
899	4546	505
900	4550	500
901	4555	494
902	4561	490
903	4566	484
904	4571	479
905	4575	474
906	4580	469
907	4586	464
908	4591	459
909	4596	454
910	4602	449
911	4608	444
912	4612	439
913	4618	434
914	4623	429
915	4628	424
916	4633	419
917	4638	414
918	4643	409
919	4649	404
920	4654	399
921	4659	394
922	4664	389
923	4669	384
924	4674	378
925	4679	373
926	4684	368
927	4688	363
928	4693	358
929	4697	353
930	4701	348
931	4706	343
932	4710	338
933	4714	333
934	4718	328
935	4739	324
936	4743	318
937	4748	313
938	4752	308
939	4757	303
940	4761	298
941	4765	293
942	4770	288
943	4774	283
944	4779	278
945	4784	273
946	4788	268
947	4793	262
948	4797	257
949	4802	252
950	4806	247
951	4810	242
952	4815	237
953	4819	232
954	4823	227
955	4828	222
956	4832	217
957	4837	212
958	4843	207
959	4847	201
960	4852	196
961	4857	191
962	4862	186
963	4868	181
964	4874	176
965	4879	171
966	4884	166
967	4889	161
968	4895	156
969	4900	151
970	4906	146
971	4911	141
972	4915	136
973	4922	131
974	4929	126
975	4936	121
976	4941	116
977	4946	111
978	4951	106
979	4955	101
980	4961	96
981	4965	91
982	4970	85
983	4976	80
984	4981	75
985	4986	70
986	4993	65
987	4998	60
988	5004	55
989	5010	50
990	5014	45
991	5019	40
992	5025	35
993	5029	30
994	5035	25
995	5039	20
996	5044	15
997	5050	10
998	5055	5
999	5060	0
